Forecast_Date,Customer,Product-ID,Forecast_Week,Forecast_Target_Date,Forecast_Value,Actual_Demand
2013-02-25,CN,ABC123,4,2013-03-25,476,0.0
2013-02-25,CN,ABC123,5,2013-04-01,455.0,588.0
2013-02-25,CN,ABC123,6,2013-04-08,455.0,784.0
2013-02-25,CN,ABC123,7,2013-04-15,455.0,1008.0
2013-02-25,CN,ABC123,8,2013-04-22,455.0,644.0
2013-02-25,CN,ABC123,9,2013-04-29,532.0,420.0
2013-02-25,CN,ABC123,10,2013-05-06,532.0,560.0
2013-02-25,CN,ABC123,11,2013-05-13,532.0,448.0
2013-02-25,CN,ABC123,12,2013-05-20,532.0,140.0
2013-02-25,CN,ABC127,1,2013-03-04,448.0,756.0
2013-02-25,CN,ABC127,2,2013-03-11,448,504.0
2013-02-25,CN,ABC127,3,2013-03-18,588.0,1344.0
2013-02-25,CN,ABC127,4,2013-03-25,588,0.0
2013-02-25,CN,ABC127,5,2013-04-01,560.0,728.0
2013-02-25,CN,ABC127,6,2013-04-08,560.0,728.0
2013-02-25,CN,ABC127,7,2013-04-15,560.0,784.0
2013-02-25,CN,ABC127,8,2013-04-22,560.0,420.0
2013-02-25,CN,ABC127,9,2013-04-29,637.0,700.0
2013-02-25,CN,ABC127,10,2013-05-06,637.0,840.0
2013-02-25,CN,ABC127,11,2013-05-13,637.0,616.0
2013-02-25,CN,ABC127,12,2013-05-20,637.0,672.0
2013-02-25,IT,ABC123,1,2013-03-04,276.75,0.0
2013-02-25,IT,ABC123,2,2013-03-11,276.75,0.0
2013-02-25,IT,ABC123,3,2013-03-18,276.75,0.0
2013-02-25,IT,ABC123,4,2013-03-25,276.75,0.0
2013-02-25,IT,ABC123,5,2013-04-01,202.5,0.0
2013-02-25,IT,ABC123,6,2013-04-08,202.5,0.0
2013-02-25,IT,ABC123,7,2013-04-15,202.5,0.0
2013-02-25,IT,ABC123,8,2013-04-22,202.5,0.0
2013-02-25,IT,ABC127,1,2013-03-04,267.75,0.0
2013-02-25,IT,ABC127,2,2013-03-11,267.75,0.0
2013-02-25,IT,ABC127,3,2013-03-18,267.75,0.0
2013-02-25,IT,ABC127,4,2013-03-25,267.75,0.0
2013-02-25,IT,ABC127,5,2013-04-01,180.0,0.0
2013-02-25,IT,ABC127,6,2013-04-08,180.0,0.0
2013-02-25,IT,ABC127,7,2013-04-15,180.0,0.0
2013-02-25,IT,ABC127,8,2013-04-22,180.0,0.0
2013-03-04,CN,ABC123,1,2013-03-11,252,252.0
2013-03-04,CN,ABC123,2,2013-03-18,700,700.0
2013-03-04,CN,ABC123,3,2013-03-25,0,0.0
2013-03-04,CN,ABC123,4,2013-04-01,476,588.0
2013-03-04,CN,ABC123,5,2013-04-08,581.0,784.0
2013-03-04,CN,ABC123,5,2013-04-08,0.0,784.0
2013-03-04,CN,ABC123,6,2013-04-15,581.0,1008.0
2013-03-04,CN,ABC123,6,2013-04-15,0.0,1008.0
2013-03-04,CN,ABC123,7,2013-04-22,581.0,644.0
2013-03-04,CN,ABC123,7,2013-04-22,0.0,644.0
2013-03-04,CN,ABC123,8,2013-04-29,581.0,420.0
2013-03-04,CN,ABC123,8,2013-04-29,0.0,420.0
2013-03-04,CN,ABC123,9,2013-05-06,574.0,560.0
2013-03-04,CN,ABC123,9,2013-05-06,0.0,560.0
2013-03-04,CN,ABC123,10,2013-05-13,574.0,448.0
2013-03-04,CN,ABC123,10,2013-05-13,0.0,448.0
2013-03-04,CN,ABC123,11,2013-05-20,574.0,140.0
2013-03-04,CN,ABC123,11,2013-05-20,0.0,140.0
2013-03-04,CN,ABC123,12,2013-05-27,574.0,168.0
2013-03-04,CN,ABC123,12,2013-05-27,0.0,168.0
2013-03-04,CN,ABC127,1,2013-03-11,504,504.0
2013-03-04,CN,ABC127,2,2013-03-18,1344,1344.0
2013-03-04,CN,ABC127,3,2013-03-25,0,0.0
2013-03-04,CN,ABC127,4,2013-04-01,560,728.0
2013-03-04,CN,ABC127,5,2013-04-08,686.0,728.0
2013-03-04,CN,ABC127,5,2013-04-08,0.0,728.0
2013-03-04,CN,ABC127,6,2013-04-15,686.0,784.0
2013-03-04,CN,ABC127,6,2013-04-15,0.0,784.0
2013-03-04,CN,ABC127,7,2013-04-22,686.0,420.0
2013-03-04,CN,ABC127,7,2013-04-22,0.0,420.0
2013-03-04,CN,ABC127,8,2013-04-29,686.0,700.0
2013-03-04,CN,ABC127,8,2013-04-29,0.0,700.0
2013-03-04,CN,ABC127,9,2013-05-06,686.0,840.0
2013-03-04,CN,ABC127,9,2013-05-06,0.0,840.0
2013-03-04,CN,ABC127,10,2013-05-13,686.0,616.0
2013-03-04,CN,ABC127,10,2013-05-13,0.0,616.0
2013-03-04,CN,ABC127,11,2013-05-20,686.0,672.0
2013-03-04,CN,ABC127,11,2013-05-20,0.0,672.0
2013-03-04,CN,ABC127,12,2013-05-27,686.0,644.0
2013-03-04,CN,ABC127,12,2013-05-27,0.0,644.0
2013-04-01,IT,ABC123,1,2013-04-08,188.25,0.0
2013-04-01,IT,ABC123,2,2013-04-15,188.25,0.0
2013-04-01,IT,ABC123,3,2013-04-22,188.25,0.0
2013-04-01,IT,ABC123,4,2013-04-29,188.25,0.0
2013-04-01,IT,ABC123,5,2013-05-06,178.5,0.0
2013-04-01,IT,ABC123,6,2013-05-13,178.5,0.0
2013-04-01,IT,ABC123,7,2013-05-20,178.5,0.0
2013-04-01,IT,ABC123,8,2013-05-27,178.5,0.0
2013-04-01,IT,ABC127,1,2013-04-08,262.5,0.0
2013-04-01,IT,ABC127,2,2013-04-15,262.5,0.0
2013-04-01,IT,ABC127,3,2013-04-22,262.5,0.0
2013-04-01,IT,ABC127,4,2013-04-29,262.5,0.0
2013-04-01,IT,ABC127,5,2013-05-06,206.25,0.0
2013-04-01,IT,ABC127,6,2013-05-13,206.25,0.0
2013-04-01,IT,ABC127,7,2013-05-20,206.25,0.0
2013-04-01,IT,ABC127,8,2013-05-27,206.25,0.0
2013-04-08,CN,ABC123,5,2013-05-13,0.0,448.0
2013-04-08,CN,ABC123,6,2013-05-20,0.0,140.0
2013-04-08,CN,ABC123,7,2013-05-27,0.0,168.0
2013-04-08,CN,ABC123,8,2013-06-03,0.0,168.0
2013-04-08,CN,ABC123,9,2013-06-10,0.0,168.0
2013-04-08,CN,ABC123,10,2013-06-17,0.0,56.0
2013-04-08,CN,ABC123,11,2013-06-24,0.0,0.0
2013-04-08,CN,ABC123,12,2013-07-01,0.0,84.0
2013-04-08,CN,ABC127,5,2013-05-13,0.0,616.0
2013-04-08,CN,ABC127,6,2013-05-20,0.0,672.0
2013-04-08,CN,ABC127,7,2013-05-27,0.0,644.0
2013-04-08,CN,ABC127,8,2013-06-03,0.0,840.0
2013-04-08,CN,ABC127,9,2013-06-10,0.0,924.0
2013-04-08,CN,ABC127,10,2013-06-17,0.0,924.0
2013-04-08,CN,ABC127,11,2013-06-24,0.0,504.0
2013-04-08,CN,ABC127,12,2013-07-01,0.0,280.0
2013-04-15,CN,ABC123,1,2013-04-22,784.0,644.0
2013-04-15,CN,ABC123,2,2013-04-29,1008,420.0
2013-04-15,CN,ABC123,3,2013-05-06,644.0,560.0
2013-04-15,CN,ABC123,4,2013-05-13,672,448.0
2013-04-15,CN,ABC123,5,2013-05-20,665.0,140.0
2013-04-15,CN,ABC123,6,2013-05-27,665.0,168.0
2013-04-15,CN,ABC123,7,2013-06-03,665.0,168.0
2013-04-15,CN,ABC123,8,2013-06-10,665.0,168.0
2013-04-15,CN,ABC123,9,2013-06-17,665.0,56.0
2013-04-15,CN,ABC123,10,2013-06-24,665.0,0.0
2013-04-15,CN,ABC123,11,2013-07-01,665.0,84.0
2013-04-15,CN,ABC123,12,2013-07-08,665.0,252.0
2013-04-15,CN,ABC127,1,2013-04-22,728.0,420.0
2013-04-15,CN,ABC127,2,2013-04-29,784,700.0
2013-04-15,CN,ABC127,3,2013-05-06,420.0,840.0
2013-04-15,CN,ABC127,4,2013-05-13,728,616.0
2013-04-15,CN,ABC127,5,2013-05-20,707.0,672.0
2013-04-15,CN,ABC127,6,2013-05-27,707.0,644.0
2013-04-15,CN,ABC127,7,2013-06-03,707.0,840.0
2013-04-15,CN,ABC127,8,2013-06-10,707.0,924.0
2013-04-15,CN,ABC127,9,2013-06-17,714.0,924.0
2013-04-15,CN,ABC127,10,2013-06-24,714.0,504.0
2013-04-15,CN,ABC127,11,2013-07-01,714.0,280.0
2013-04-15,CN,ABC127,12,2013-07-08,714.0,532.0
2013-04-29,IT,ABC123,1,2013-05-06,112.5,0.0
2013-04-29,IT,ABC123,2,2013-05-13,112.5,0.0
2013-04-29,IT,ABC123,3,2013-05-20,112.5,0.0
2013-04-29,IT,ABC123,4,2013-05-27,112.5,0.0
2013-04-29,IT,ABC123,5,2013-06-03,160.5,0.0
2013-04-29,IT,ABC123,6,2013-06-10,160.5,0.0
2013-04-29,IT,ABC123,7,2013-06-17,160.5,0.0
2013-04-29,IT,ABC123,8,2013-06-24,160.5,0.0
2013-04-29,IT,ABC127,1,2013-05-06,125.0,0.0
2013-04-29,IT,ABC127,2,2013-05-13,125.0,0.0
2013-04-29,IT,ABC127,3,2013-05-20,125.0,0.0
2013-04-29,IT,ABC127,4,2013-05-27,125.0,0.0
2013-04-29,IT,ABC127,5,2013-06-03,204.0,0.0
2013-04-29,IT,ABC127,6,2013-06-10,204.0,0.0
2013-04-29,IT,ABC127,7,2013-06-17,204.0,0.0
2013-04-29,IT,ABC127,8,2013-06-24,204.0,0.0
2013-05-13,CN,ABC123,1,2013-05-20,560.0,140.0
2013-05-13,CN,ABC123,2,2013-05-27,448,168.0
2013-05-13,CN,ABC123,3,2013-06-03,140.0,168.0
2013-05-13,CN,ABC123,4,2013-06-10,560,168.0
2013-05-13,CN,ABC123,5,2013-06-17,630.0,56.0
2013-05-13,CN,ABC123,6,2013-06-24,630.0,0.0
2013-05-13,CN,ABC123,7,2013-07-01,630.0,84.0
2013-05-13,CN,ABC123,8,2013-07-08,630.0,252.0
2013-05-13,CN,ABC123,9,2013-07-15,714.0,0.0
2013-05-13,CN,ABC123,10,2013-07-22,714.0,0.0
2013-05-13,CN,ABC123,11,2013-07-29,714.0,0.0
2013-05-13,CN,ABC123,12,2013-08-05,714.0,140.0
2013-05-13,CN,ABC127,1,2013-05-20,840.0,672.0
2013-05-13,CN,ABC127,2,2013-05-27,616,644.0
2013-05-13,CN,ABC127,3,2013-06-03,672.0,840.0
2013-05-13,CN,ABC127,4,2013-06-10,616,924.0
2013-05-13,CN,ABC127,5,2013-06-17,686.0,924.0
2013-05-13,CN,ABC127,6,2013-06-24,686.0,504.0
2013-05-13,CN,ABC127,7,2013-07-01,686.0,280.0
2013-05-13,CN,ABC127,8,2013-07-08,686.0,532.0
2013-05-13,CN,ABC127,9,2013-07-15,784.0,700.0
2013-05-13,CN,ABC127,10,2013-07-22,784.0,756.0
2013-05-13,CN,ABC127,11,2013-07-29,784.0,728.0
2013-05-13,CN,ABC127,12,2013-08-05,784.0,672.0
2013-05-27,IT,ABC123,1,2013-06-03,150.0,0.0
2013-05-27,IT,ABC123,2,2013-06-10,150.0,0.0
2013-05-27,IT,ABC123,3,2013-06-17,150.0,0.0
2013-05-27,IT,ABC123,4,2013-06-24,150.0,0.0
2013-05-27,IT,ABC123,5,2013-07-01,189.75,0.0
2013-05-27,IT,ABC123,6,2013-07-08,189.75,0.0
2013-05-27,IT,ABC123,7,2013-07-15,189.75,0.0
2013-05-27,IT,ABC123,8,2013-07-22,189.75,0.0
2013-05-27,IT,ABC127,1,2013-06-03,200.0,0.0
2013-05-27,IT,ABC127,2,2013-06-10,200.0,0.0
2013-05-27,IT,ABC127,3,2013-06-17,200.0,0.0
2013-05-27,IT,ABC127,4,2013-06-24,200.0,0.0
2013-05-27,IT,ABC127,5,2013-07-01,250.5,0.0
2013-05-27,IT,ABC127,6,2013-07-08,250.5,0.0
2013-05-27,IT,ABC127,7,2013-07-15,250.5,0.0
2013-05-27,IT,ABC127,8,2013-07-22,250.5,0.0
2013-06-17,CN,ABC123,1,2013-06-24,168.0,0.0
2013-06-17,CN,ABC123,2,2013-07-01,56,84.0
2013-06-17,CN,ABC123,3,2013-07-08,0.0,252.0
2013-06-17,CN,ABC123,4,2013-07-15,364,0.0
2013-06-17,CN,ABC123,5,2013-07-22,539.0,0.0
2013-06-17,CN,ABC123,6,2013-07-29,539.0,0.0
2013-06-17,CN,ABC123,7,2013-08-05,539.0,140.0
2013-06-17,CN,ABC123,8,2013-08-12,539.0,392.0
2013-06-17,CN,ABC123,9,2013-08-19,567.0,140.0
2013-06-17,CN,ABC123,10,2013-08-26,567.0,168.0
2013-06-17,CN,ABC123,11,2013-09-02,567.0,280.0
2013-06-17,CN,ABC123,12,2013-09-09,567.0,308.0
2013-06-17,CN,ABC127,1,2013-06-24,924.0,504.0
2013-06-17,CN,ABC127,2,2013-07-01,924,280.0
2013-06-17,CN,ABC127,3,2013-07-08,504.0,532.0
2013-06-17,CN,ABC127,4,2013-07-15,700,700.0
2013-06-17,CN,ABC127,5,2013-07-22,784.0,756.0
2013-06-17,CN,ABC127,6,2013-07-29,784.0,728.0
2013-06-17,CN,ABC127,7,2013-08-05,784.0,672.0
2013-06-17,CN,ABC127,8,2013-08-12,784.0,952.0
2013-06-17,CN,ABC127,9,2013-08-19,791.0,756.0
2013-06-17,CN,ABC127,10,2013-08-26,791.0,196.0
2013-06-17,CN,ABC127,11,2013-09-02,791.0,924.0
2013-06-17,CN,ABC127,12,2013-09-09,791.0,980.0
2013-07-01,IT,ABC123,1,2013-07-08,173.25,0.0
2013-07-01,IT,ABC123,2,2013-07-15,173.25,0.0
2013-07-01,IT,ABC123,3,2013-07-22,173.25,0.0
2013-07-01,IT,ABC123,4,2013-07-29,173.25,0.0
2013-07-01,IT,ABC123,5,2013-08-05,123.0,0.0
2013-07-01,IT,ABC123,6,2013-08-12,123.0,0.0
2013-07-01,IT,ABC123,7,2013-08-19,123.0,0.0
2013-07-01,IT,ABC123,8,2013-08-26,123.0,0.0
2013-07-01,IT,ABC127,1,2013-07-08,235.5,0.0
2013-07-01,IT,ABC127,2,2013-07-15,235.5,0.0
2013-07-01,IT,ABC127,3,2013-07-22,235.5,0.0
2013-07-01,IT,ABC127,4,2013-07-29,235.5,0.0
2013-07-01,IT,ABC127,5,2013-08-05,194.25,0.0
2013-07-01,IT,ABC127,6,2013-08-12,194.25,0.0
2013-07-01,IT,ABC127,7,2013-08-19,194.25,0.0
2013-07-01,IT,ABC127,8,2013-08-26,194.25,0.0
2013-07-15,CN,ABC123,1,2013-07-22,252.0,0.0
2013-07-15,CN,ABC123,2,2013-07-29,0,0.0
2013-07-15,CN,ABC123,3,2013-08-05,0.0,140.0
2013-07-15,CN,ABC123,4,2013-08-12,0,392.0
2013-07-15,CN,ABC123,5,2013-08-19,343.0,140.0
2013-07-15,CN,ABC123,6,2013-08-26,343.0,168.0
2013-07-15,CN,ABC123,7,2013-09-02,343.0,280.0
2013-07-15,CN,ABC123,8,2013-09-09,343.0,308.0
2013-07-15,CN,ABC123,9,2013-09-16,364.0,448.0
2013-07-15,CN,ABC123,10,2013-09-23,364.0,56.0
2013-07-15,CN,ABC123,11,2013-09-30,364.0,196.0
2013-07-15,CN,ABC123,12,2013-10-07,364.0,252.0
2013-07-15,CN,ABC127,1,2013-07-22,532.0,756.0
2013-07-15,CN,ABC127,2,2013-07-29,700,728.0
2013-07-15,CN,ABC127,3,2013-08-05,756.0,672.0
2013-07-15,CN,ABC127,4,2013-08-12,616,952.0
2013-07-15,CN,ABC127,5,2013-08-19,714.0,756.0
2013-07-15,CN,ABC127,6,2013-08-26,714.0,196.0
2013-07-15,CN,ABC127,7,2013-09-02,714.0,924.0
2013-07-15,CN,ABC127,8,2013-09-09,714.0,980.0
2013-07-15,CN,ABC127,9,2013-09-16,763.0,644.0
2013-07-15,CN,ABC127,10,2013-09-23,763.0,812.0
2013-07-15,CN,ABC127,11,2013-09-30,763.0,980.0
2013-07-15,CN,ABC127,12,2013-10-07,763.0,840.0
2013-07-29,IT,ABC123,1,2013-08-05,153.0,0.0
2013-07-29,IT,ABC123,2,2013-08-12,153.0,0.0
2013-07-29,IT,ABC123,3,2013-08-19,153.0,0.0
2013-07-29,IT,ABC123,4,2013-08-26,153.0,0.0
2013-07-29,IT,ABC123,5,2013-09-02,168.0,0.0
2013-07-29,IT,ABC123,6,2013-09-09,168.0,0.0
2013-07-29,IT,ABC123,7,2013-09-16,168.0,0.0
2013-07-29,IT,ABC123,8,2013-09-23,168.0,0.0
2013-07-29,IT,ABC127,1,2013-08-05,275.0,0.0
2013-07-29,IT,ABC127,2,2013-08-12,275.0,0.0
2013-07-29,IT,ABC127,3,2013-08-19,275.0,0.0
2013-07-29,IT,ABC127,4,2013-08-26,275.0,0.0
2013-07-29,IT,ABC127,5,2013-09-02,325.0,0.0
2013-07-29,IT,ABC127,6,2013-09-09,325.0,0.0
2013-07-29,IT,ABC127,7,2013-09-16,325.0,0.0
2013-07-29,IT,ABC127,8,2013-09-23,325.0,0.0
2013-08-12,CN,ABC123,1,2013-08-19,140.0,140.0
2013-08-12,CN,ABC123,2,2013-08-26,392,168.0
2013-08-12,CN,ABC123,3,2013-09-02,140.0,280.0
2013-08-12,CN,ABC123,4,2013-09-09,0,308.0
2013-08-12,CN,ABC123,5,2013-09-16,364.0,448.0
2013-08-12,CN,ABC123,6,2013-09-23,364.0,56.0
2013-08-12,CN,ABC123,7,2013-09-30,364.0,196.0
2013-08-12,CN,ABC123,8,2013-10-07,364.0,252.0
2013-08-12,CN,ABC123,9,2013-10-14,350.0,196.0
2013-08-12,CN,ABC123,10,2013-10-21,350.0,224.0
2013-08-12,CN,ABC123,11,2013-10-28,350.0,280.0
2013-08-12,CN,ABC123,12,2013-11-04,350.0,0.0
2013-08-12,CN,ABC127,1,2013-08-19,672.0,756.0
2013-08-12,CN,ABC127,2,2013-08-26,952,196.0
2013-08-12,CN,ABC127,3,2013-09-02,756.0,924.0
2013-08-12,CN,ABC127,4,2013-09-09,280,980.0
2013-08-12,CN,ABC127,5,2013-09-16,819.0,644.0
2013-08-12,CN,ABC127,6,2013-09-23,819.0,812.0
2013-08-12,CN,ABC127,7,2013-09-30,819.0,980.0
2013-08-12,CN,ABC127,8,2013-10-07,819.0,840.0
2013-08-12,CN,ABC127,9,2013-10-14,784.0,644.0
2013-08-12,CN,ABC127,10,2013-10-21,784.0,616.0
2013-08-12,CN,ABC127,11,2013-10-28,784.0,812.0
2013-08-12,CN,ABC127,12,2013-11-04,784.0,0.0
2013-08-26,IT,ABC123,1,2013-09-02,212.5,0.0
2013-08-26,IT,ABC123,2,2013-09-09,212.5,0.0
2013-08-26,IT,ABC123,3,2013-09-16,212.5,0.0
2013-08-26,IT,ABC123,4,2013-09-23,212.5,0.0
2013-08-26,IT,ABC123,5,2013-09-30,225.0,0.0
2013-08-26,IT,ABC123,6,2013-10-07,225.0,0.0
2013-08-26,IT,ABC123,7,2013-10-14,225.0,0.0
2013-08-26,IT,ABC123,8,2013-10-21,225.0,0.0
2013-08-26,IT,ABC127,1,2013-09-02,325.0,0.0
2013-08-26,IT,ABC127,2,2013-09-09,325.0,0.0
2013-08-26,IT,ABC127,3,2013-09-16,325.0,0.0
2013-08-26,IT,ABC127,4,2013-09-23,325.0,0.0
2013-08-26,IT,ABC127,5,2013-09-30,225.0,0.0
2013-08-26,IT,ABC127,6,2013-10-07,225.0,0.0
2013-08-26,IT,ABC127,7,2013-10-14,225.0,0.0
2013-08-26,IT,ABC127,8,2013-10-21,225.0,0.0
2013-09-23,CN,ABC123,1,2013-09-30,308.0,196.0
2013-09-23,CN,ABC123,2,2013-10-07,448,252.0
2013-09-23,CN,ABC123,3,2013-10-14,56.0,196.0
2013-09-23,CN,ABC123,4,2013-10-21,196,224.0
2013-09-23,CN,ABC123,5,2013-10-28,273.0,280.0
2013-09-23,CN,ABC123,6,2013-11-04,273.0,0.0
2013-09-23,CN,ABC123,7,2013-11-11,273.0,336.0
2013-09-23,CN,ABC123,8,2013-11-18,273.0,616.0
2013-09-23,CN,ABC123,9,2013-11-25,196.0,532.0
2013-09-23,CN,ABC123,10,2013-12-02,196.0,560.0
2013-09-23,CN,ABC123,11,2013-12-09,196.0,364.0
2013-09-23,CN,ABC123,12,2013-12-16,196.0,196.0
2013-09-23,CN,ABC127,1,2013-09-30,980.0,980.0
2013-09-23,CN,ABC127,2,2013-10-07,644,840.0
2013-09-23,CN,ABC127,3,2013-10-14,812.0,644.0
2013-09-23,CN,ABC127,4,2013-10-21,980,616.0
2013-09-23,CN,ABC127,5,2013-10-28,784.0,812.0
2013-09-23,CN,ABC127,6,2013-11-04,784.0,0.0
2013-09-23,CN,ABC127,7,2013-11-11,784.0,364.0
2013-09-23,CN,ABC127,8,2013-11-18,784.0,280.0
2013-09-23,CN,ABC127,9,2013-11-25,511.0,504.0
2013-09-23,CN,ABC127,10,2013-12-02,511.0,560.0
2013-09-23,CN,ABC127,11,2013-12-09,511.0,952.0
2013-09-23,CN,ABC127,12,2013-12-16,511.0,840.0
2013-09-30,IT,ABC123,1,2013-10-07,180.0,0.0
2013-09-30,IT,ABC123,2,2013-10-14,180.0,0.0
2013-09-30,IT,ABC123,3,2013-10-21,180.0,0.0
2013-09-30,IT,ABC123,4,2013-10-28,180.0,0.0
2013-09-30,IT,ABC123,5,2013-11-04,219.0,0.0
2013-09-30,IT,ABC123,6,2013-11-11,219.0,0.0
2013-09-30,IT,ABC123,7,2013-11-18,219.0,0.0
2013-09-30,IT,ABC123,8,2013-11-25,219.0,0.0
2013-09-30,IT,ABC127,1,2013-10-07,133.5,0.0
2013-09-30,IT,ABC127,2,2013-10-14,133.5,0.0
2013-09-30,IT,ABC127,3,2013-10-21,133.5,0.0
2013-09-30,IT,ABC127,4,2013-10-28,133.5,0.0
2013-09-30,IT,ABC127,5,2013-11-04,210.75,0.0
2013-09-30,IT,ABC127,6,2013-11-11,210.75,0.0
2013-09-30,IT,ABC127,7,2013-11-18,210.75,0.0
2013-09-30,IT,ABC127,8,2013-11-25,210.75,0.0
2013-10-28,CN,ABC123,1,2013-11-04,252.0,0.0
2013-10-28,CN,ABC123,2,2013-11-11,196,336.0
2013-10-28,CN,ABC123,3,2013-11-18,224.0,616.0
2013-10-28,CN,ABC123,4,2013-11-25,280,532.0
2013-10-28,CN,ABC123,5,2013-12-02,231.0,560.0
2013-10-28,CN,ABC123,6,2013-12-09,231.0,364.0
2013-10-28,CN,ABC123,7,2013-12-16,231.0,196.0
2013-10-28,CN,ABC123,8,2013-12-23,231.0,0.0
2013-10-28,CN,ABC123,9,2013-12-30,315.0,0.0
2013-10-28,CN,ABC123,10,2014-01-06,315.0,364.0
2013-10-28,CN,ABC123,11,2014-01-13,315.0,112.0
2013-10-28,CN,ABC123,12,2014-01-20,315.0,84.0
2013-10-28,CN,ABC127,1,2013-11-04,840.0,0.0
2013-10-28,CN,ABC127,2,2013-11-11,644,364.0
2013-10-28,CN,ABC127,3,2013-11-18,616.0,280.0
2013-10-28,CN,ABC127,4,2013-11-25,812,504.0
2013-10-28,CN,ABC127,5,2013-12-02,609.0,560.0
2013-10-28,CN,ABC127,6,2013-12-09,609.0,952.0
2013-10-28,CN,ABC127,7,2013-12-16,609.0,840.0
2013-10-28,CN,ABC127,8,2013-12-23,609.0,0.0
2013-10-28,CN,ABC127,9,2013-12-30,833.0,0.0
2013-10-28,CN,ABC127,10,2014-01-06,833.0,1372.0
2013-10-28,CN,ABC127,11,2014-01-13,833.0,420.0
2013-10-28,CN,ABC127,12,2014-01-20,833.0,252.0
2013-10-28,IT,ABC123,1,2013-11-04,138.0,0.0
2013-10-28,IT,ABC123,2,2013-11-11,138.0,0.0
2013-10-28,IT,ABC123,3,2013-11-18,138.0,0.0
2013-10-28,IT,ABC123,4,2013-11-25,138.0,0.0
